,0,1,2,3,4
0,0,0,2015-11-16,0.245572278162027,1
1,0,0,2015-11-16,0.824969124960436,1
2,0,0,2015-11-17,0.8984128044183838,1
3,0,0,2015-11-18,0.9845667130432136,1
4,0,0,2015-11-18,0.7869396205105094,1
5,0,0,2015-11-19,1.8922753185179897,1
6,0,0,2015-11-19,1.0928871105341325,1
7,0,0,2015-11-20,0.8450919806626253,1
8,0,0,2015-11-20,0.3549531562896751,1
9,0,0,2015-11-21,0.3964801205744111,1
10,0,0,2015-11-21,1.5971802678695748,1
11,0,0,2015-11-22,2.096420883738867,1
12,0,0,2015-11-22,1.8415864003086428,1
13,0,0,2015-11-23,0.7560456003830097,1
14,0,0,2015-11-23,0.1932795896923777,1
15,0,0,2015-11-24,0.1821961975146446,1
16,0,0,2015-11-24,0.3696324481466464,1
17,0,0,2015-11-25,1.945330302328854,1
18,0,0,2015-11-25,1.915784908251808,1
19,0,0,2015-11-26,2.223930129805029,1
20,0,0,2015-11-26,2.3674556481839306,1
21,0,0,2015-11-27,2.549686719583377,1
22,0,0,2015-11-27,2.3042122891751475,1
23,0,0,2015-11-28,2.533308573646881,1
24,0,0,2015-11-28,1.7942060641489683,1
25,0,0,2015-11-29,1.5550519314978666,1
26,0,0,2015-11-29,1.3511763598524629,1
27,0,0,2015-11-30,1.5681778900452,1
28,0,0,2015-11-30,0.2800195371206386,1
29,0,0,2015-12-01,0.1847472660246287,1
30,0,0,2015-12-02,0.6258882426442032,1
31,0,0,2015-12-02,0.5362461380427629,1
32,0,0,2015-12-03,0.406945849497266,1
33,0,0,2015-12-03,0.7632062213476041,1
34,0,0,2015-12-04,0.9157739848794628,1
35,0,0,2015-12-04,0.8484344848831356,1
36,0,0,2015-12-05,0.8355650542351779,1
37,0,0,2015-12-05,0.8591489331474338,1
38,0,0,2015-12-06,0.7126766155378168,1
39,0,0,2015-12-06,0.59307229230055,1
40,0,0,2015-12-07,0.6865179671643615,1
41,0,0,2015-12-07,0.9209789597751707,1
42,0,0,2015-12-08,1.286478095913926,1
43,0,0,2015-12-08,0.4796501981775318,1
44,0,0,2015-12-09,0.876619180415653,1
45,0,0,2015-12-09,0.3886118115208538,1
46,0,0,2015-12-13,0.4534501388500979,1
47,0,0,2015-12-14,0.9548396937290948,1
48,0,0,2015-12-14,0.5632870450933275,1
49,0,0,2015-12-15,0.5992927394285107,1
50,0,0,2015-12-15,0.993695772017252,1
51,0,0,2015-12-16,0.9966489454830896,1
52,0,0,2015-12-16,0.561123540873466,1
53,0,0,2015-12-17,0.3042184656802844,1
54,0,0,2015-12-17,0.2785325659570594,1
55,0,0,2015-12-18,0.3196283563870212,1
56,0,0,2015-12-18,0.3242156644906674,1
57,0,0,2015-12-19,1.3369631679043474,1
58,0,0,2015-12-19,1.3362727508823888,1
59,0,0,2015-12-20,1.347723374530664,1
60,0,0,2015-12-20,1.3458666037688551,1
61,0,0,2015-12-21,1.436969175104189,1
62,0,0,2015-12-21,1.378411919628568,1
63,0,0,2015-12-22,1.5076662785623125,1
64,0,0,2015-12-22,1.325201502219684,1
65,0,0,2015-12-23,1.3417312601753109,1
66,0,0,2015-12-23,1.2489020799107762,1
67,0,0,2015-12-24,1.25545001241915,1
68,0,0,2015-12-24,1.368246861467121,1
69,0,0,2015-12-25,1.3770759096645169,1
70,0,0,2015-12-25,1.2428062564153946,1
71,0,0,2015-12-26,1.3572485811244988,1
72,0,0,2015-12-26,1.3234322337293418,1
73,0,0,2015-12-27,1.326335655475475,1
74,0,0,2015-12-27,1.2291780128503726,1
75,0,0,2015-12-28,1.2503023777859992,1
76,0,0,2015-12-28,1.3062396712807176,1
77,0,0,2015-12-29,1.4462536537225563,1
78,0,0,2015-12-29,1.4112321746812049,1
